Title,Creator,AgeRecommendation,Active,Favorites,Visits,VoiceChat,Camera,Created,Updated,ServerSize,Genre,Likes,Dislikes,GameLink,DateFetched
Vehicle Legends 🏎️ CARS!,QuadraTech,All Ages,5984,2277362,1.5B+,Supported,Not Supported,1/2/2020,11/4/2024,18,Simulation,1M+,70K+,https://www.roblox.com/games/4566572536/Vehicle-Legends-CARS?gameSearchSessionInfo=ea555ed7-751f-46b4-b5fa-df9f3bf341ec&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=4566572536&amp;position=0&amp;universeId=1480782352,11/5/2024 20:25
[🥁] Tongue Battles,LDS Fighting,All Ages,2603,217480,131.6M+,Supported,Not Supported,3/12/2024,11/5/2024,18,Action,383K+,28K+,https://www.roblox.com/games/16721806812/Tongue-Battles?gameSearchSessionInfo=b7708637-bb6a-4a01-a8ef-f77c6a7cdd94&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=16721806812&amp;position=0&amp;universeId=5747480325,11/5/2024 20:25
[🕷️HALLOWEEN🕸️] A Universal Time 3.9 🎃,Universe Time Studio,Ages 13+,14899,1312542,796.9M+,Supported,Not Supported,6/4/2020,11/5/2024,1,RPG,796K+,134K+,https://www.roblox.com/games/5130598377/HALLOWEEN-A-Universal-Time-3-9?gameSearchSessionInfo=260983f7-f85f-41be-b505-e08b64061374&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=5130598377&amp;position=0&amp;universeId=1782832995,11/5/2024 20:26
Survive in the Abandoned Caps,@lauradevilhenabento2,All Ages,8,50049,2.1M+,Supported,Not Supported,7/18/2024,11/1/2024,20,Survival,1889,718,https://www.roblox.com/games/18547779478/Survive-in-the-Abandoned-Caps?gameSearchSessionInfo=fc8e32b3-02c7-462e-b58f-1778234b2196&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=34&amp;page=searchPage&amp;placeId=18547779478&amp;position=0&amp;universeId=6284424140,11/5/2024 20:26
Studio Lite,@ScottSpiritWalker,All Ages,300,53036,15.7M+,Not Supported,Not Supported,9/20/2022,11/5/2024,1,Simulation,16K+,3902,https://www.roblox.com/games/10959918411/Studio-Lite?gameSearchSessionInfo=819f7e13-095a-4c52-be09-302a136bc877&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=10959918411&amp;position=0&amp;universeId=3951147015,11/5/2024 20:26
[🎃 EVENT] Driving Empire 🏎️ Car Racing,Driving Empire by Voldex,All Ages,9627,13733888,1.6B+,Supported,Not Supported,6/23/2019,11/5/2024,25,Simulation,1M+,113K+,https://www.roblox.com/games/3351674303/EVENT-Driving-Empire-Car-Racing?gameSearchSessionInfo=0dcc2150-14d8-489b-957a-21ce226accc2&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=3351674303&amp;position=0&amp;universeId=1202096104,11/5/2024 20:26
🎉 🏆 SUPER GUYS [🎃UPDATE!],SGD GAMES,All Ages,125,93929,9.6M+,Not Supported,Not Supported,4/6/2024,11/3/2024,12,Party & Casual,1337,770,https://www.roblox.com/games/17033334805/SUPER-GUYS-UPDATE?gameSearchSessionInfo=d06c81a5-eca7-46a4-9814-071733964ec3&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=17033334805&amp;position=0&amp;universeId=5841133479,11/5/2024 20:26
[🎃] Dungeon Quest! ⚔️ RPG Adventure,Dungeon Quest by Voldex,Ages 9+,5234,4243151,2.1B+,Not Supported,Not Supported,9/26/2018,11/2/2024,40,RPG,1M+,96K+,https://www.roblox.com/games/2414851778/Dungeon-Quest-RPG-Adventure?gameSearchSessionInfo=ef8deb73-5240-4f17-a5af-5f05d1496d64&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=2414851778&amp;position=0&amp;universeId=848145103,11/5/2024 20:26
weird strict dad [BOOK 2],BlueLoop Studios,All Ages,515,465052,341.1M+,Supported,Not Supported,9/16/2023,9/21/2024,20,Adventure,115K+,21K+,https://www.roblox.com/games/14787369036/weird-strict-dad-BOOK-2?gameSearchSessionInfo=d818b5a5-7944-4e10-9ec4-85767120178f&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=14787369036&amp;position=0&amp;universeId=5096440156,11/5/2024 20:26
MeepCity (2017),@danodanya12Beta21,All Ages,0,2,68,Supported,Supported,10/27/2024,10/31/2024,50,N/A,1,0,https://www.roblox.com/games/140107722481038/MeepCity-2017?gameSearchSessionInfo=5abd680b-f771-4f00-a647-7638878200fb&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=140107722481038&amp;position=0&amp;universeId=6722779074,11/5/2024 20:26
2 Player Monkey Obby,Certified Monkey Business,All Ages,233,123378,38.7M+,Not Supported,Supported,5/18/2024,7/17/2024,22,Obby & Platformer,27K+,5362,https://www.roblox.com/games/17521736603/2-Player-Monkey-Obby?gameSearchSessionInfo=4020ecb8-b8ff-4876-9f1b-7bc5c0688c1a&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=17521736603&amp;position=0&amp;universeId=5997482110,11/5/2024 20:26
[🎃] Super League Soccer,Play! Football,All Ages,7281,457336,599.6M+,Supported,Not Supported,1/17/2023,11/4/2024,14,Sports & Racing,219K+,46K+,https://www.roblox.com/games/12177325772/Super-League-Soccer?gameSearchSessionInfo=052f9cde-b0d4-446e-90b8-a015f3e8f15e&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=12177325772&amp;position=0&amp;universeId=4293374620,11/5/2024 20:26
[🎃] untitled boxing game🥊,drowningsome,Ages 9+,6543,793244,675.7M+,Supported,Not Supported,6/2/2023,11/4/2024,20,Sports & Racing,742K+,119K+,https://www.roblox.com/games/13621938427/untitled-boxing-game?gameSearchSessionInfo=83a51e5c-adec-4cf9-af93-d06d8fc0079e&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=13621938427&amp;position=0&amp;universeId=4730278139,11/5/2024 20:26
Anime Racing Clicker 🍜,Clicker House,All Ages,240,159360,105.7M+,Not Supported,Not Supported,8/26/2022,10/21/2024,18,Simulation,81K+,8088,https://www.roblox.com/games/10714365287/Anime-Racing-Clicker?gameSearchSessionInfo=1328dec8-1711-432b-a721-c08864d80a29&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=10714365287&amp;position=0&amp;universeId=3878727131,11/5/2024 20:27
[🎃FREE UGC🧻]Skibidi Toilet Battle,Skibidi Toilet Boom Studio,All Ages,3136,786321,66.8M+,Supported,Supported,4/16/2024,11/5/2024,25,Strategy,73K+,3460,https://www.roblox.com/games/17166519103/FREE-UGC-Skibidi-Toilet-Battle?gameSearchSessionInfo=a729da7d-fa91-4be2-8a75-7b58cf40f3c6&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=17166519103&amp;position=0&amp;universeId=5878543726,11/5/2024 20:27
Phantom Forces,StyLiS Studios,Ages 9+,2944,5865429,1.6B+,Not Supported,Not Supported,8/31/2015,11/5/2024,32,Shooter,2M+,212K+,https://www.roblox.com/games/292439477/Phantom-Forces?gameSearchSessionInfo=ad55156d-c7a8-4d32-85b0-9a11b9327dea&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=292439477&amp;position=0&amp;universeId=113491250,11/5/2024 20:27
DEXTER: THE ROBLOX GAME (ALPHA TESTING),BunchOfCube's Stuff,Ages 13+,260,20574,989.6K+,Not Supported,Supported,9/24/2024,11/5/2024,1,N/A,4705,407,https://www.roblox.com/games/86399647173698/DEXTER-THE-ROBLOX-GAME-ALPHA-TESTING?gameSearchSessionInfo=8b72d3b3-967b-41ff-a90e-76490217825d&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=86399647173698&amp;position=0&amp;universeId=6593575410,11/5/2024 20:27
⚡Race Clicker,48h Games,All Ages,3377,1196261,799.3M+,Not Supported,Not Supported,4/5/2022,11/5/2024,25,Sports & Racing,1M+,55K+,https://www.roblox.com/games/9285238704/Race-Clicker?gameSearchSessionInfo=e16e9008-3885-4678-9043-3f4d26f7e7b8&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=9285238704&amp;position=0&amp;universeId=3476371299,11/5/2024 20:27
👑TELANTHRIC EVENT👑 TTD UNITS AND GEMS,@xdjdisjs,All Ages,0,37,34.1K+,Not Supported,Supported,3/6/2024,3/6/2024,50,N/A,59,126,https://www.roblox.com/games/16639306675/TELANTHRIC-EVENT-TTD-UNITS-AND-GEMS?gameSearchSessionInfo=8d0319c7-1c89-43aa-8d39-d4b230201253&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=16639306675&amp;position=0&amp;universeId=5724296919,11/5/2024 20:27
Neko Cat Amelia [AI],@imnotapolloe,All Ages,0,200,23.8K+,Not Supported,Supported,4/22/2024,9/27/2024,1,N/A,77,109,https://www.roblox.com/games/17249294136/Neko-Cat-Amelia-AI?gameSearchSessionInfo=c1c70118-35a5-4c40-bdb8-f394b2900ae0&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=17249294136&amp;position=0&amp;universeId=5901223679,11/5/2024 20:27
SCP Games and SCP Monsters,@lolbuih,Ages 9+,3411,575856,623.0M+,Supported,Supported,8/14/2021,11/2/2024,20,Roleplay & Avatar Sim,91K+,23K+,https://www.roblox.com/games/7253149844/SCP-Games-and-SCP-Monsters?gameSearchSessionInfo=5907244c-1181-4207-8b25-2877cdd6219d&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=7253149844&amp;position=0&amp;universeId=2827951974,11/5/2024 20:27
CLUB 63❗,@infidialt,All Ages,47,7388,65.2K+,Supported,Supported,9/2/2024,10/28/2024,50,N/A,11,52,https://www.roblox.com/games/132554018160904/CLUB-63?gameSearchSessionInfo=54ca17cf-d9d2-419d-ae6b-5fdfd919003f&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=132554018160904&amp;position=0&amp;universeId=6500019479,11/5/2024 20:27
Last Dawn,Last Dawn Presents,All Ages,277,4081,134.3K+,Supported,Supported,10/25/2024,11/5/2024,20,N/A,1589,158,https://www.roblox.com/games/71905556130563/Last-Dawn?gameSearchSessionInfo=6ed3f9b1-8cf0-44b7-9e59-68946377e482&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=71905556130563&amp;position=0&amp;universeId=6715624103,11/5/2024 20:27
Mega Mansion Tycoon 🌴,Wild Atelier,All Ages,3730,1566870,1.0B+,Supported,Not Supported,12/24/2021,11/5/2024,6,Simulation,765K+,41K+,https://www.roblox.com/games/8328351891/Mega-Mansion-Tycoon?gameSearchSessionInfo=6cc86f5e-38c0-4807-8f5f-7f3fb48ea183&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=8328351891&amp;position=0&amp;universeId=3191268194,11/5/2024 20:28
[WARSHIP!] Military Tycoon ®,InfinityInteractive,Ages 9+,3978,1733718,761.2M+,Supported,Not Supported,7/31/2021,11/4/2024,12,Simulation,1M+,100K+,https://www.roblox.com/games/7180042682/WARSHIP-Military-Tycoon?gameSearchSessionInfo=fb14c61e-483d-4526-ae0e-2ad8ab077e0d&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=7180042682&amp;position=0&amp;universeId=2788648141,11/5/2024 20:28
[💀Decay +🎃Halloween🦇] Heroes World,Heroes World,All Ages,300,757938,221.8M+,Not Supported,Not Supported,4/23/2020,11/4/2024,14,Action,515K+,26K+,https://www.roblox.com/games/4934471106/Decay-Halloween-Heroes-World?gameSearchSessionInfo=1b468af6-5a16-4bb1-8e22-8edd601bafad&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=4934471106&amp;position=0&amp;universeId=1691616425,11/5/2024 20:28
[JDH] Multiverse Tower Defense!,The ROBO STUDIO,All Ages,42,415,58.2K+,Not Supported,Supported,10/22/2024,11/5/2024,15,N/A,195,27,https://www.roblox.com/games/85448241021831/JDH-Multiverse-Tower-Defense?gameSearchSessionInfo=bb06b9ff-de3c-436e-8167-d08611cab258&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=85448241021831&amp;position=0&amp;universeId=6703420089,11/5/2024 20:28
[STAGE THREE!] 💪 Ninja Challenge [Beta],Ninja Challenge,All Ages,2343,29528,23.0M+,Supported,Not Supported,8/5/2024,11/4/2024,5,Obby & Platformer,27K+,3911,https://www.roblox.com/games/18803315158/STAGE-THREE-Ninja-Challenge-Beta?gameSearchSessionInfo=ce810001-4d99-4f14-965c-896b809d20e3&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=18803315158&amp;position=0&amp;universeId=6371309794,11/5/2024 20:28
WIGGITY WIGGITY WIGGITY WIGGITY WIGGITY WIGGITY...,@bluejohn72,All Ages,0,0,5,Not Supported,Supported,4/2/2024,4/2/2024,50,N/A,1,1,https://www.roblox.com/games/16973363136/WIGGITY-WIGGITY-WIGGITY-WIGGITY-WIGGITY-WIGGITY?gameSearchSessionInfo=a16348d7-da20-4b1b-b5a4-4d529ed6a864&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=16973363136&amp;position=0&amp;universeId=5824966194,11/5/2024 20:28
[ITADORI + NATSU]🔥 Anime Unlimited,AU:R,Ages 13+,40,219774,54.6M+,Not Supported,Not Supported,6/7/2022,11/5/2024,12,Action,140K+,29K+,https://www.roblox.com/games/9845465117/ITADORI-NATSU-Anime-Unlimited?gameSearchSessionInfo=11964f76-3f4f-4172-b546-16321fe8c458&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=9845465117&amp;position=0&amp;universeId=3639793122,11/5/2024 20:28
Sprunki Incredibox 3D RP,@Hirarez,All Ages,922,1741,461.9K+,Supported,Not Supported,10/19/2024,11/4/2024,30,N/A,283,51,https://www.roblox.com/games/89075149130815/Sprunki-Incredibox-3D-RP?gameSearchSessionInfo=8b8a5913-0508-4288-9e90-f9f74d43fb65&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=39&amp;page=searchPage&amp;placeId=89075149130815&amp;position=0&amp;universeId=6693507828,11/5/2024 20:28
[UPDATE 4] Meme Sea,Meme Sea Group,Ages 9+,17066,297447,418.9M+,Supported,Not Supported,7/18/2022,10/17/2024,12,RPG,298K+,22K+,https://www.roblox.com/games/10260193230/UPDATE-4-Meme-Sea?gameSearchSessionInfo=6dc1b086-a846-4018-88a3-9894bf479072&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=10260193230&amp;position=0&amp;universeId=3756501373,11/5/2024 20:28
Human Giraffe,@Rdite,All Ages,25,446373,71.3M+,Not Supported,Not Supported,1/4/2019,12/23/2022,30,Simulation,118K+,32K+,https://www.roblox.com/games/2711482466/Human-Giraffe?gameSearchSessionInfo=22f54229-0a4a-45c3-867b-bfe783082d83&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=2711482466&amp;position=0&amp;universeId=979894568,11/5/2024 20:28
[UPGRADE] BARRY'S PRISON RUN! (OBBY),@PlatinumFalls,All Ages,13093,1197361,2.8B+,Supported,Supported,2/3/2022,11/1/2024,12,Obby & Platformer,279K+,199K+,https://www.roblox.com/games/8712817601/UPGRADE-BARRYS-PRISON-RUN-OBBY?gameSearchSessionInfo=f4a803b3-b287-421b-8375-76d48b230fea&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=8712817601&amp;position=0&amp;universeId=3310460039,11/5/2024 20:28
[update](96) Find the Hexagons,Hexagon &amp; Miawi Team,All Ages,0,57,8166,Not Supported,Not Supported,6/29/2023,11/2/2024,50,N/A,23,10,https://www.roblox.com/games/13893067455/update-96-Find-the-Hexagons?gameSearchSessionInfo=5f78061a-f184-4f52-86fe-6291c28b4eae&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=13893067455&amp;position=0&amp;universeId=4816244576,11/5/2024 20:28
FORTUNE 777,BASED DEPARTMEΝT,All Ages,0,0,58,Not Supported,Supported,4/14/2024,4/14/2024,200,N/A,3,1,https://www.roblox.com/games/17131327671/FORTUNE-777?gameSearchSessionInfo=1f747f9e-f64b-44b2-8986-6a26308e7193&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=17131327671&amp;position=0&amp;universeId=5868992045,11/5/2024 20:29
ULTRA: Rebirth,@Thetalies,All Ages,148,17657,7.3M+,Not Supported,Not Supported,7/4/2022,11/4/2024,20,N/A,4541,416,https://www.roblox.com/games/10110028480/ULTRA-Rebirth?gameSearchSessionInfo=65cddfb3-2b7d-4d9a-aa18-1c9705c2271b&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=10110028480&amp;position=0&amp;universeId=3714940835,11/5/2024 20:29
🎃 Tower Defense Simulator 🎃,Paradoxum Games,All Ages,21000,3093968,3.6B+,Supported,Not Supported,6/5/2019,11/5/2024,30,Strategy,1M+,104K+,https://www.roblox.com/games/3260590327/Tower-Defense-Simulator?gameSearchSessionInfo=7da7dc85-abea-4910-b6f2-817ff2be6328&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=3260590327&amp;position=0&amp;universeId=1176784616,11/5/2024 20:29
Roblox: Mine_craft Beta 1.0,chatting app moderators,All Ages,53,5312,2.1M+,Supported,Not Supported,5/12/2024,11/4/2024,16,N/A,1120,586,https://www.roblox.com/games/17465830919/Roblox-Mine-craft-Beta-1-0?gameSearchSessionInfo=872942d7-ad17-4d1f-8fb8-7706e8228173&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=17465830919&amp;position=0&amp;universeId=5977508551,11/5/2024 20:29
a dusty trip [📜QUEST],Jandel's Road Trip,All Ages,10949,1234572,1.1B+,Supported,Supported,2/16/2024,11/3/2024,25,Adventure,1M+,139K+,https://www.roblox.com/games/16389395869/a-dusty-trip-QUEST?gameSearchSessionInfo=bfc04a14-5740-4317-bbc1-721b395ff822&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=16389395869&amp;position=0&amp;universeId=5650396773,11/5/2024 20:29
Color Run,Mega Fun game,All Ages,106,151620,171.7M+,Not Supported,Not Supported,4/6/2021,10/15/2023,12,Party & Casual,36K+,59K+,https://www.roblox.com/games/6644653750/Color-Run?gameSearchSessionInfo=0414d4fd-9b27-4c24-b870-fbbd0494d92c&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=6644653750&amp;position=0&amp;universeId=2496696953,11/5/2024 20:29
⭐ ZENVO! Car Dealership Tycoon,Foxzie,All Ages,8591,3102097,2.0B+,Not Supported,Not Supported,3/27/2018,11/5/2024,15,Simulation,1M+,101K+,https://www.roblox.com/games/1554960397/ZENVO-Car-Dealership-Tycoon?gameSearchSessionInfo=448fb364-cb94-4e68-aaaf-9f14e4b6adcd&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=1554960397&amp;position=0&amp;universeId=605887098,11/5/2024 20:29
Uplift Games,Uplift Games - SUPPORT,All Ages,0,13,1843,Not Supported,Supported,8/24/2024,9/27/2024,50,N/A,9,11,https://www.roblox.com/games/132675322280203/Uplift-Games?gameSearchSessionInfo=efb4a765-4580-4233-97ec-8aa1293ee2eb&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=132675322280203&amp;position=0&amp;universeId=6460593376,11/5/2024 20:29
 [ DIVA + 15] TOD 🎃,OofMayy Studios,All Ages,2373,230494,151.7M+,Supported,Supported,1/25/2023,11/4/2024,30,Social,73K+,6868,https://www.roblox.com/games/12262046571/DIVA-15-TOD?gameSearchSessionInfo=2297c6a3-cbd4-498d-b2c2-e6d62ba5bfb5&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=12262046571&amp;position=0&amp;universeId=4319996251,11/5/2024 20:29
Arsenal,ROLVe,Ages 9+,3834,11174747,5.6B+,Not Supported,Not Supported,8/18/2015,11/5/2024,16,Shooter,4M+,623K+,https://www.roblox.com/games/286090429/Arsenal?gameSearchSessionInfo=876208d3-d0c6-4074-9c32-008c78652f93&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=286090429&amp;position=0&amp;universeId=111958650,11/5/2024 20:29
💪Muscle Legends,Scriptbloxian Studios,Ages 9+,6570,2353665,1.8B+,Not Supported,Not Supported,8/9/2019,7/12/2024,20,Simulation,903K+,131K+,https://www.roblox.com/games/3623096087/Muscle-Legends?gameSearchSessionInfo=2d77adc1-e684-44ee-b9e4-5096d609eef6&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=3623096087&amp;position=0&amp;universeId=1268927906,11/5/2024 20:29
Banana Eats 🎃,@RyCitrus,Ages 9+,1458,1792676,692.5M+,Supported,Not Supported,11/23/2019,11/2/2024,10,Survival,428K+,56K+,https://www.roblox.com/games/4448566543/Banana-Eats?gameSearchSessionInfo=72510e2d-df51-4f65-bdf0-8947e6e36825&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=4448566543&amp;position=0&amp;universeId=1415710834,11/5/2024 20:29
